146.1,44.15
146.5,44.24
146.9,44.34
147.2,44.4
147.3,44.43
147.7,44.53
148.2,44.62
148.2,44.64
148.6,44.72
149,44.81
149.3,44.89
149.4,44.91
149.8,45
150.2,45.1
150.4,45.14
150.6,45.19
151.1,45.29
151.5,45.38
151.5,45.39
151.9,45.48
152.3,45.57
152.6,45.64
152.7,45.67
153.1,45.77
153.5,45.86
153.6,45.88
154,45.96
154.4,46.05
154.7,46.13
154.8,46.15
155.2,46.24
155.6,46.34
155.8,46.38
156,46.43
156.4,46.53
156.9,46.62
156.9,46.63
157.3,46.72
157.7,46.81
158,46.88
158.1,46.91
158.5,47
158.9,47.1
159,47.12
159.3,47.19
159.8,47.29
160.1,47.37
160.2,47.38
160.6,47.48
161,47.58
161.2,47.62
161.4,47.67
161.8,47.77
162.2,47.86
162.3,47.87
162.7,47.96
163.1,48.05
163.3,48.12
163.5,48.15
163.9,48.24
164.3,48.34
164.4,48.36
164.7,48.43
165.1,48.53
165.5,48.61
165.6,48.62
166,48.72
166.4,48.81
166.6,48.86
166.8,48.91
167.2,49.01
167.6,49.1
167.7,49.11
168,49.2
168.5,49.29
168.7,49.36
168.9,49.39
169.3,49.48
169.7,49.58
169.8,49.6
170.1,49.67
170.5,49.77
170.9,49.85
170.9,49.86
171.4,49.96
171.8,50.05
172,50.1
172.2,50.15
172.6,50.24
173,50.34
173,50.35
173.4,50.44
173.8,50.53
174.1,50.6
174.3,50.63
174.7,50.72
175.1,50.82
175.2,50.84
175.5,50.91
175.9,51.01
176.3,51.09
176.3,51.1
176.7,51.19
177.2,51.28
177.4,51.34
177.6,51.37
178,51.46
178.4,51.55
178.6,51.59
